Timestamp,ServiceName,Port,Action,PID
2025-06-03 09:00:22,bitnet,8000,RESERVE,N/A
2025-06-03 09:00:22,bitnet,8000,REGISTER,3900
2025-06-03 09:00:27,bitnet,8000,RELEASE,3900
2025-06-03 09:05:29,bitnet,8000,RESERVE,N/A
2025-06-03 09:05:29,bitnet,8000,REGISTER,4184
2025-06-03 09:05:34,bitnet,8000,RELEASE,4184
2025-06-03 09:09:09,bitnet,8000,RESERVE,N/A
2025-06-03 09:09:09,bitnet,8000,REGISTER,4399
2025-06-03 09:09:12,bitnet,8000,RELEASE,4399
2025-06-03 09:09:12,bitnet,8000,RELEASE,N/A
2025-06-03 09:09:14,bitnet,8000,RESERVE,N/A
2025-06-03 09:09:14,bitnet,8000,REGISTER,4404
